StartTime,Label,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Age,Height,Weight,Gender
25.07.2024 13:33,Dip,"-1.5798611640930176,-1.1682956218719482,1.8197416067123413,-0.23389841616153717,1.0839486122131348,2.2438695430755615,1.6737794876098633,2.335394859313965,1.2329018115997314","10.073782920837402,9.240483283996582,9.635298728942871,10.917253494262695,9.854242324829102,9.329017639160156,9.572486877441406,9.77408218383789,10.28734302520752","1.2323036193847656,-0.537188708782196,-3.260220766067505,0.9786644577980042,0.373878538608551,0.7986045479774475,0.2913261651992798,-0.15672987699508667,0.43609192967414856","0.44028112292289734,0.008246680721640587,0.14737124741077423,-0.3523165285587311,-0.16569720208644867,-0.017409659922122955,0.030695978552103043,0.1241583600640297,-0.020922135561704636","-0.15760323405265808,1.0684033632278442,-0.5710062980651855,0.7701483368873596,-0.46273043751716614,-0.08292495459318161,-0.4011857509613037,-0.04734205827116966,0.36193767189979553","0.032681290060281754,-0.4499022662639618,0.2664899528026581,0.5670356750488281,0.0429132841527462,0.01466076634824276,-0.07757988572120667,-0.029168816283345222,-0.06261368840932846",27,196,83,male
25.07.2024 13:33,Dip,"1.1030912399291992,0.6329016089439392,2.2917258739471436,2.4670002460479736,3.3236305713653564,7.010970115661621,9.153742790222168,11.128419876098633,8.850452423095703,11.096714973449707,11.342577934265137,8.35992431640625,2.9964120388031006","9.708877563476562,9.92243766784668,9.138189315795898,7.269395351409912,7.283154010772705,6.299105644226074,3.562314748764038,-2.7912275791168213,-6.878767013549805,-5.1768717765808105,0.5748756527900696,4.025325775146484,5.469394207000732","1.197009563446045,0.7292127013206482,0.6305087804794312,0.06640082597732544,-1.114457130432129,-1.7425731420516968,-1.7072789669036865,-0.4097708761692047,0.8177471160888672,-0.6005984544754028,-1.3549357652664185,-3.1680972576141357,0.17168502509593964","-0.08750644326210022,-0.017562376335263252,0.024892758578062057,0.342237263917923,1.0027352571487427,0.898124635219574,0.4297437071800232,-0.39843684434890747,-0.9666942358016968,-0.06123924255371094,0.2373211532831192,0.4118759036064148,-0.16951510310173035","0.3604104816913605,0.07727445662021637,0.1293507218360901,0.2742784917354584,0.2226603776216507,0.054367005825042725,0.4550946056842804,1.7678439617156982,0.9808968901634216,-0.2762638032436371,-0.9191994667053223,-0.9761626720428467,-1.1552989482879639","0.08460483700037003,0.04596760869026184,0.04459316283464432,0.745408296585083,1.5714508295059204,2.400700330734253,2.8761062622070312,3.492622137069702,2.747213840484619,0.1843285858631134,-2.107027053833008,-3.336240530014038,-3.375488519668579",27,196,83,male
25.07.2024 13:33,Dip,"4.83051061630249,2.740380048751831,5.2869415283203125,9.750154495239258,12.909876823425293,10.334601402282715,11.074581146240234,10.393224716186523,8.301300048828125,1.129412293434143","5.436492919921875,5.684150218963623,6.668796539306641,3.2404799461364746,-6.853642463684082,-3.8697924613952637,-7.039684295654297,0.6699903607368469,5.646463394165039,6.810571670532227","-0.8530412912368774,-0.6071787476539612,-1.8113667964935303,0.11844471842050552,-3.135794162750244,3.7435710430145264,-2.6021945476531982,-0.672383189201355,-3.0963125228881836,-0.8027920126914978","-0.7092145681381226,-0.9538660645484924,-0.683863639831543,0.24098633229732513,0.8408560156822205,0.8098546266555786,-0.9402743577957153,0.005803219974040985,0.058948494493961334,0.8924741148948669","-0.7590000629425049,-0.23594669997692108,-0.7874053120613098,0.9066767692565918,0.5659666657447815,0.15531249344348907,0.9850202202796936,1.08718740940094,-0.9705121517181396,-0.6864598393440247","-3.1170926094055176,-2.850450038909912,-2.378861904144287,1.012050986289978,2.58457088470459,3.3373095989227295,4.765512466430664,1.1693488359451294,-0.8823948502540588,-3.7928624153137207",27,196,83,male
25.07.2024 13:33,Dip,"4.780859470367432,0.18005990982055664,3.3852458000183105,11.712268829345703,12.013166427612305,8.718249320983887,12.88654613494873,9.866206169128418,6.608976364135742,2.681756019592285","6.2051873207092285,9.014361381530762,3.9176487922668457,-0.2745763957500458,-4.810171604156494,-7.309474945068359,-4.9878387451171875,2.8803603649139404,4.557130813598633,5.776273727416992","-1.456630825996399,-0.867398202419281,-0.13938191533088684,-2.967100143432617,0.8464609980583191,0.7884350419044495,-1.1258230209350586,-0.8422735929489136,-3.3062827587127686,0.06340979784727097","-0.6349944472312927,-1.1618657112121582,-0.7195992469787598,0.5380195379257202,0.5009095072746277,0.8257371187210083,-0.45723262429237366,-0.3914119005203247,0.3019201457500458,-0.0633772686123848","-1.3087787628173828,-0.19654589891433716,-0.20357084274291992,1.1178834438323975,0.09712757170200348,0.38759398460388184,1.86191725730896,0.3315471112728119,-0.6673702597618103,-1.1659890413284302","-3.5469889640808105,-3.2308661937713623,-1.8559613227844238,1.8834502696990967,2.682156562805176,4.2221479415893555,4.084550380706787,0.9877691268920898,-2.1394028663635254,-3.9736783504486084",27,196,83,male
25.07.2024 13:33,Dip,"4.572684288024902,4.008575916290283,8.909674644470215,11.062019348144531,10.228120803833008,9.801599502563477,12.375080108642578,8.240283012390137,3.955335855484009,-0.28953152894973755,0.9397810697555542,1.7336000204086304,0.9595218896865845,0.8410771489143372,-0.28654050827026367,-0.8344969153404236,0.001794616924598813","4.895715236663818,8.798408508300781,5.863611698150635,0.2350948303937912,-7.503891944885254,-5.947360515594482,-1.0803594589233398,3.985844373703003,4.073182582855225,9.34277629852295,9.904491424560547,9.594620704650879,9.93380355834961,9.599406242370605,9.942776679992676,9.81655502319336,9.926624298095703","0.21176479756832123,-2.0745773315429688,-2.3264217376708984,-2.0859432220458984,0.9756734371185303,1.3860424757003784,-2.5022943019866943,-3.156731367111206,-1.0145567655563354,-1.0301101207733154,-0.5389832854270935,-1.00259268283844,-0.9445667266845703,-0.09990034252405167,-0.6305087804794312,-0.23748764395713806,-0.5461617708206177","-1.149037480354309,-1.0352638959884644,-0.26511552929878235,1.0729848146438599,1.1438452005386353,0.32268956303596497,-0.5288565754890442,0.14752395451068878,0.03680463135242462,-0.9352346658706665,-1.4234687089920044,-0.5836817622184753,-0.18570303916931152,-0.1518000066280365,-0.01970040425658226,-0.07162395119667053,-0.05146539583802223","-1.0816895961761475,0.05192354694008827,0.12064588814973831,0.8000807762145996,0.4008803069591522,1.9787452220916748,0.9964739084243774,-0.5167919993400574,-0.9714284539222717,-1.258840560913086,-0.3355177342891693,0.18188512325286865,-0.9260717034339905,-0.34956762194633484,-0.16371189057826996,-0.4153883755207062,-0.2018909603357315","-3.503617525100708,-3.399617910385132,-0.14004085958003998,2.013259172439575,3.187647581100464,4.469089984893799,3.6748125553131104,-0.4634940028190613,-3.249345064163208,-4.311334133148193,-3.787822723388672,-1.627497673034668,0.36010506749153137,-0.6052147150039673,-0.12370020896196365,-0.289244681596756,-0.06475171446800232",27,196,83,male
31.07.2024 15:49,Dip,"0.07417750358581543,-0.3529413342475891,0.44446679949760437,2.1894326210021973,3.6580276489257812,3.7740795612335205,5.356333255767822,7.358527660369873,10.310074806213379,8.662615776062012,9.125627517700195,9.330811500549316,9.479764938354492,9.704689979553223,6.326025009155273,3.2303106784820557","9.503094673156738,9.637093544006348,9.453444480895996,8.770293235778809,9.597013473510742,8.791828155517578,6.087340831756592,7.34895658493042,5.292923450469971,2.169093608856201,1.3010972738265991,-2.740978240966797,0.4408775866031647,2.74755859375,8.49990463256836,6.796812534332275","1.3268201351165771,1.4398809671401978,1.6618152856826782,1.6295121908187866,0.8123632669448853,-0.5264210104942322,0.7651050686836243,1.2711870670318604,3.0891339778900146,2.7349963188171387,3.569493293762207,4.706682205200195,5.570491313934326,4.281357765197754,-0.08374879509210587,-0.8679963946342468","0.07712173461914062,0.027641652151942253,0.23060162365436554,0.5850561857223511,0.6397286057472229,0.1647808998823166,-0.19944749772548676,-0.7535023093223572,-0.5618433356285095,-0.946382999420166,-0.8275696635246277,0.048105638474226,0.7814493775367737,1.1074986457824707,0.5658139586448669,0.4660901725292206","-0.02168571576476097,0.26419922709465027,0.12522737681865692,0.46150869131088257,-0.561079740524292,0.7564038634300232,0.5474879741668701,0.2750420868396759,0.9167560338973999,0.27030786871910095,0.4329507350921631,0.11392636597156525,-0.16951510310173035,-1.0685560703277588,-1.794722080230713,-2.364048480987549","0.11331550031900406,0.12568552792072296,0.5503895878791809,1.2125675678253174,1.0326677560806274,1.6165021657943726,1.4850133657455444,1.8738291263580322,1.7988454103469849,1.8037323951721191,1.173930287361145,0.07437284290790558,-0.7438811659812927,-2.380847215652466,-2.7459919452667236,-3.085022211074829",30,178,82,male
31.07.2024 15:49,Dip,"3.555136203765869,6.613761901855469,3.944568157196045,5.8235321044921875,11.846864700317383,8.74038314819336,8.70209789276123,12.436097145080566,7.778468132019043,11.139785766601562,4.7126641273498535,2.325225353240967,6.072983741760254","8.511270523071289,7.428517818450928,9.235696792602539,7.4470624923706055,5.047659397125244,0.35892340540885925,0.048454657196998596,-1.8251254558563232,0.44745782017707825,5.457430362701416,9.079565048217773,9.334999084472656,5.5692949295043945","-1.3621143102645874,3.116053342819214,-1.7617156505584717,0.17228323221206665,3.342175006866455,3.7286159992218018,3.424727439880371,4.497908592224121,5.255236625671387,2.6560330390930176,-0.48095735907554626,-0.906281590461731,-0.9942178130149841","-1.2096658945083618,0.15317445993423462,0.28420504927635193,-0.19456058740615845,0.10506882518529892,-0.40103304386138916,-0.6415612101554871,-0.9720393419265747,-0.6633996367454529,0.3549126982688904,1.1753047704696655,0.8736900091171265,0.4512766897678375","-1.8128952980041504,-0.14844025671482086,0.45753806829452515,0.30741792917251587,1.5146403312683105,1.1354458332061768,0.36193767189979553,0.33429601788520813,0.46334129571914673,-0.021380282938480377,-0.8683449625968933,-1.3716979026794434,-1.3878858089447021","-2.0063869953155518,0.18448130786418915,1.0752755403518677,1.0908526182174683,1.6074918508529663,1.8861991167068481,1.7269160747528076,1.5555683374404907,1.177748203277588,-0.3530801236629486,-1.441794753074646,-2.233017921447754,-2.763096332550049",30,178,82,male
31.07.2024 15:49,Dip,"5.627320766448975,5.02851676940918,6.08195686340332,7.271788120269775,8.583054542541504,8.532805442810059,8.884550094604492,13.469198226928711,8.151150703430176,7.34476900100708,4.018745422363281","9.823135375976562,6.774679183959961,8.047062873840332,8.8109712600708,4.299902439117432,1.5463616847991943,-0.7543373107910156,1.3076776266098022,4.777270317077637,7.472187042236328,8.533403396606445","0.8117650747299194,-2.2737796306610107,1.6552350521087646,-0.8123632669448853,1.2717852592468262,3.9762730598449707,1.9692929983139038,4.155734539031982,2.6392834186553955,1.0791629552841187,-1.292722463607788","0.076052725315094,-0.44623705744743347,0.9847147464752197,0.1088867336511612,-0.25045475363731384,-0.3501785099506378,-0.47968193888664246,-0.6637051105499268,-0.43279802799224854,0.4236350357532501,1.1766791343688965","-1.728137731552124,0.9225592613220215,0.2154827117919922,0.6464481353759766,0.5154175758361816,1.3590224981307983,0.7971791625022888,0.20341812074184418,0.7070765495300293,-1.1074986457824707,-0.455705463886261","-2.757903814315796,-0.7327328324317932,2.094046115875244,1.5390750169754028,1.6670511960983276,1.8594738245010376,1.7096590995788574,0.9876163601875305,0.6925684809684753,-1.0603092908859253,-2.4274258613586426",30,178,82,male
31.07.2024 15:49,Dip,"4.584050178527832,4.217350006103516,3.510869026184082,4.221537113189697,10.682158470153809,8.892327308654785,10.288538932800293,12.246466636657715,8.289934158325195,7.340581893920898,8.486145973205566,7.76052188873291,3.311068296432495,5.403591632843018","7.317849636077881,7.043273448944092,5.925825119018555,10.01575756072998,7.63729190826416,2.7152554988861084,1.293320655822754,-0.8398807644844055,-1.8179470300674438,1.5696916580200195,5.3557353019714355,7.040282249450684,9.196215629577637,4.691727161407471","1.1676974296569824,-0.48813581466674805,0.2787638306617737,1.6037893295288086,1.347757339477539,-0.3529413342475891,3.603590965270996,4.206582069396973,6.57547664642334,5.163711071014404,1.6157535314559937,0.21595224738121033,-0.9678967595100403,0.8721838593482971","0.8856018781661987,-0.09300423413515091,-0.8335255980491638,-0.11575896292924881,0.35292738676071167,-0.0027488935738801956,-0.6284276247024536,-0.8891143798828125,-0.8817839622497559,-0.6664539575576782,0.3413209617137909,1.0479393005371094,1.341460108757019,0.43279802799224854","-0.9911288619041443,-1.9330830574035645,-1.3069461584091187,1.249372124671936,1.0939068794250488,0.8432994484901428,0.2819143235683441,1.0093021392822266,0.4323398768901825,0.9932668805122375,-0.07528914511203766,-1.0013608932495117,-1.4524848461151123,-0.6441574096679688","-2.4995079040527344,-2.689028739929199,-2.177123785018921,0.7506006956100464,1.7238616943359375,1.962557315826416,2.0537290573120117,1.7189748287200928,1.3964380025863647,0.9068294763565063,-0.1111774742603302,-1.6898059844970703,-2.291355609893799,-2.6302330493927",30,178,82,male
31.07.2024 15:49,Dip,"4.770092010498047,4.935196876525879,3.8111681938171387,7.232904434204102,7.466204643249512,7.295716285705566,10.361519813537598,9.45045280456543,10.405787467956543,8.411369323730469,4.731806755065918,9.251250267028809","6.346961975097656,6.363711833953857,9.026325225830078,7.052246570587158,4.852644443511963,3.954737663269043,-0.784247636795044,-1.568495273590088,1.9304096698760986,5.504090309143066,8.922835350036621,6.38165807723999","-0.906281590461731,0.11665010452270508,0.21954147517681122,0.966102123260498,1.6869399547576904,2.9341988563537598,3.3619158267974854,4.06540584564209,3.513859987258911,2.0572292804718018,-1.784447431564331,3.2727832794189453","-0.21930062770843506,-0.44425174593925476,0.11316278576850891,0.3471241891384125,0.14248432219028473,-0.5867360830307007,-0.5870414972305298,-1.0209085941314697,-0.44715335965156555,0.2174680233001709,0.22815817594528198,0.8423831462860107","-1.7136297225952148,0.11224649101495743,0.4415028691291809,0.46822822093963623,1.6953037977218628,0.054825156927108765,0.6125451326370239,0.7012733221054077,0.33597588539123535,0.24129177629947662,-1.9176586866378784,-0.5531384944915771","-2.7146852016448975,-0.5587889552116394,1.0406090021133423,1.5361733436584473,1.335504174232483,1.6862934827804565,1.5369369983673096,1.5723671913146973,0.8947648406028748,0.1417207419872284,-1.7794504165649414,-2.3590087890625",30,178,82,male
31.07.2024 15:49,Dip,"2.82951283454895,0.7106683254241943,6.496513366699219,6.973881721496582,12.224930763244629,9.33858871459961,11.304292678833008,10.317253112792969,7.89631462097168,8.067401885986328,6.891329288482666,3.9535412788391113","6.376872539520264,14.126626968383789,6.99840784072876,5.277968406677246,4.810171604156494,3.180659532546997,-0.6717849373817444,-0.8727820515632629,1.1276177167892456,7.714460372924805,7.737192153930664,7.547560691833496","-0.49351966381073,-5.193023204803467,1.7754744291305542,2.0027925968170166,2.349153518676758,4.136591911315918,2.1373889446258545,2.626721143722534,3.178266763687134,2.8761727809906006,-0.1902294009923935,-0.46480581164360046","1.0338894128799438,-0.18875735998153687,0.00045814894838258624,-1.351233959197998,0.37598755955696106,-0.036193765699863434,0.2538145184516907,-0.623235285282135,-0.731511116027832,-0.8266534209251404,-1.0505355596542358,0.18677204847335815","-1.257924199104309,-1.7655532360076904,-1.0172433853149414,1.6458237171173096,-0.6423248052597046,1.373683214187622,1.1679743528366089,0.619111955165863,0.40485092997550964,1.397048830986023,0.25014930963516235,0.7081455588340759","-2.538145065307617,-2.358397960662842,-2.5216517448425293,-0.741895854473114,1.0589349269866943,1.454164743423462,1.3782646656036377,1.7443257570266724,1.7493653297424316,1.468367338180542,0.9294314980506897,0.6264423131942749",30,178,82,male
31.07.2024 15:49,Dip,"4.884349346160889,3.8327035903930664,6.069394588470459,8.48435115814209,9.30449104309082,7.960920810699463,9.059226989746094,12.557533264160156,10.331609725952148,7.740182876586914,8.98803997039795,5.155934810638428,6.690930366516113","6.847062110900879,4.646861553192139,7.328617572784424,7.878368377685547,4.955535888671875,3.555734395980835,4.415954113006592,-0.16809579730033875,-0.0849452018737793,0.9050851464271545,6.1812591552734375,7.953144073486328,7.681559085845947","2.203789710998535,-1.0097711086273193,1.114457130432129,2.650649309158325,-0.5126622319221497,1.5864413976669312,4.012165546417236,2.359323024749756,5.034498691558838,2.791825771331787,2.4981069564819336,-0.363709032535553,-1.441077470779419","0.6979135274887085,1.2307407855987549,1.0083857774734497,0.02977968007326126,-0.5416847467422485,0.027641652151942253,0.29168814420700073,0.3459024429321289,-0.7133378982543945,-0.6389650702476501,-0.6768386960029602,-1.2782355546951294,0.48380526900291443","-0.6760751008987427,-0.00045814894838258624,-1.3907874822616577,-2.283414363861084,0.06994406878948212,1.2939653396606445,1.3753631114959717,1.0600038766860962,0.2330450862646103,0.5027421116828918,0.6994407176971436,0.009773843921720982,-0.19562959671020508","-1.1325441598892212,-2.2411117553710938,-2.5086708068847656,-2.833040237426758,-1.1015427112579346,1.0754282474517822,1.7730363607406616,1.6982053518295288,1.9077321290969849,1.807550311088562,1.4886785745620728,0.897513747215271,-0.18157969415187836",30,178,82,male
31.07.2024 15:49,Dip,"7.558328628540039,-0.18783657252788544,4.30169677734375,4.922634601593018,11.066206932067871,6.93320369720459,9.593423843383789,7.614559650421143,9.791430473327637,9.664012908935547,8.73619556427002,6.023332595825195,5.442475318908691,5.3694939613342285","5.290530681610107,6.069993019104004,12.471391677856445,5.672784328460693,7.013961315155029,3.9176487922668457,1.3435698747634888,0.8219345808029175,-1.604387640953064,0.664606511592865,3.8494534492492676,8.496315002441406,8.731410026550293,5.382654666900635","-0.25363919138908386,0.31764721870422363,-2.001596212387085,-0.052043892443180084,1.339382529258728,0.7920243144035339,3.500101327896118,3.4642090797424316,4.131208419799805,4.6199421882629395,2.613560438156128,-0.16510476171970367,-0.6789634227752686,0.25244277715682983","0.5319108963012695,1.0334312915802002,1.0114401578903198,0.3507893681526184,-0.9097310900688171,-0.3920227587223053,0.2958115041255951,-0.1241583600640297,-0.02626720629632473,-0.8628471493721008,-0.8558222055435181,-0.6985244154930115,-0.6441574096679688,0.7197519540786743","-0.37430769205093384,-0.30634891986846924,-1.0293079614639282,-2.272571325302124,-0.4983133375644684,1.5512923002243042,-0.42699480056762695,0.8080220222473145,0.5621487498283386,-0.32986724376678467,0.25045475363731384,0.07681630551815033,0.8329147696495056,-0.461355984210968","-1.0033462047576904,-2.012953758239746,-2.3441953659057617,-2.4324653148651123,-2.1474967002868652,-0.2454151064157486,1.8921550512313843,1.6940820217132568,1.5676329135894775,1.6841554641723633,1.3576480150222778,1.081536889076233,0.5166392922401428,-0.304210901260376",30,178,82,male
